City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
79,Senanga,ZM,1/4/2020 21:21,-16.1,23.3,68.11,92,100,5.88,light rain,0.88,0
80,Rehoboth,NA,1/4/2020 21:21,-23.31,17.08,74.1,28,63,13.82,broken clouds,0,0
81,Lumphat,KH,1/4/2020 21:21,13.5,106.97,66.99,79,39,7.87,scattered clouds,0,0
82,Ko Samui,TH,1/4/2020 21:21,9.54,99.94,80.58,75,49,10.85,scattered clouds,0,0
83,Raudeberg,NO,1/4/2020 21:21,61.99,5.14,37.99,80,98,9.17,overcast clouds,0,0
84,Saskylakh,RU,1/4/2020 21:21,71.97,114.09,-21.41,95,62,6.04,broken clouds,0,0
85,Deputatskiy,RU,1/4/2020 21:21,69.3,139.9,-8.72,86,100,2.1,overcast clouds,0,0
86,Kaitangata,NZ,1/4/2020 21:21,-46.28,169.85,49.23,86,100,7.96,light rain,2.5,0
87,Kinshasa,CD,1/4/2020 21:17,-4.32,15.31,78.8,83,40,4.7,scattered clouds,0,0
88,Longyearbyen,NO,1/4/2020 21:21,78.22,15.63,6.8,60,20,5.82,few clouds,0,0
89,Mayo,CA,1/4/2020 21:21,63.59,-135.9,-9.4,76,90,3.36,light snow,0,0
90,Nanortalik,GL,1/4/2020 21:21,60.14,-45.24,30.34,89,100,15.46,light snow,0,0
91,Lagoa,PT,1/4/2020 21:21,37.14,-8.45,53.01,81,0,5.82,clear sky,0,0
92,Bria,CF,1/4/2020 21:21,6.54,21.99,73.2,35,0,5.14,clear sky,0,0
93,Rawson,AR,1/4/2020 21:21,-43.3,-65.11,59.2,76,0,16.04,clear sky,0,0
94,Georgetown,GY,1/4/2020 21:17,6.8,-58.16,84.2,70,20,9.17,few clouds,0,0
95,Nikolskoye,RU,1/4/2020 21:21,59.7,30.79,33.8,80,90,15.66,overcast clouds,0,0
96,Westport,US,1/4/2020 21:16,41.14,-73.36,51.01,93,90,3.36,fog,0,0
97,Pilar,AR,1/4/2020 21:21,-34.46,-58.91,84.99,42,59,9.17,broken clouds,0,0
98,Pecos,US,1/4/2020 21:21,31.42,-103.49,64.4,18,1,14.99,clear sky,0,0
99,Palmer,AU,1/4/2020 21:21,-34.85,139.16,57.2,82,90,4.7,light rain,0,0
100,Zavetnoye,RU,1/4/2020 21:21,47.12,43.89,30.2,95,2,8.81,clear sky,0,0
101,Aklavik,CA,1/4/2020 21:21,68.22,-135.01,-22,74,40,10.29,scattered clouds,0,0
102,Ambilobe,MG,1/4/2020 21:21,-13.19,49.05,79.81,82,73,6.04,broken clouds,0,0
103,Boa Vista,BR,1/4/2020 21:21,2.82,-60.67,91.4,38,40,8.05,scattered clouds,0,0
104,Cidreira,BR,1/4/2020 21:21,-30.17,-50.22,73.17,80,23,17.76,light rain,0.31,0
105,Dingli,IN,1/4/2020 21:21,28.39,75.51,54.95,48,18,5.84,few clouds,0,0
106,Nantucket,US,1/4/2020 21:19,41.28,-70.1,46.4,87,90,4.7,light rain,0,0
107,Auki,NG,1/4/2020 21:21,12.18,6.51,64.15,23,51,14.05,broken clouds,0,0
108,Margate,AU,1/4/2020 21:21,-43.03,147.26,57,43,75,5.82,broken clouds,0,0
109,Samarai,PG,1/4/2020 21:21,-10.62,150.67,79.09,81,26,1.25,scattered clouds,0,0
110,Mae Sai,MM,1/4/2020 21:21,20.44,99.89,62.6,100,20,2.24,few clouds,0,0
111,East London,ZA,1/4/2020 21:21,-33.02,27.91,76.12,93,48,11.74,scattered clouds,0,0
112,Shimoda,JP,1/4/2020 21:21,34.7,138.93,36,90,75,13.06,broken clouds,0,0
113,Pevek,RU,1/4/2020 21:21,69.7,170.27,-5.69,64,0,2.66,clear sky,0,0
114,Kavieng,PG,1/4/2020 21:21,-2.57,150.8,83.77,77,100,12.12,moderate rain,4.88,0
115,Fairbanks,US,1/4/2020 21:21,64.84,-147.72,-29.2,73,89,3.29,overcast clouds,0,0
116,Chihuahua,MX,1/4/2020 21:17,28.66,-106.08,57.2,30,5,9.17,clear sky,0,0
117,Monrovia,LR,1/4/2020 21:21,6.33,-10.8,73.4,88,20,7.07,mist,0,0
118,Cabedelo,BR,1/4/2020 21:21,-6.97,-34.84,80.6,74,20,8.05,few clouds,0,0
119,Loandjili,CG,1/4/2020 21:21,-4.77,11.87,80.6,94,40,6.93,scattered clouds,0,0
120,San Ramon,NI,1/4/2020 21:21,12.92,-85.84,77,50,40,9.17,scattered clouds,0,0
121,Aztec,US,1/4/2020 21:21,36.82,-107.99,41,44,1,3.36,clear sky,0,0
122,Olinda,AU,1/4/2020 21:16,-37.84,145.39,57.2,76,75,13.87,light rain,0,0
123,Airai,TL,1/4/2020 21:21,-8.93,125.41,69.01,80,94,5.53,overcast clouds,0,0
124,Upernavik,GL,1/4/2020 21:21,72.79,-56.15,-35.36,97,64,12.21,broken clouds,0,0
125,New Norfolk,AU,1/4/2020 21:21,-42.78,147.06,57,43,75,5.82,broken clouds,0,0
126,Yellowknife,CA,1/4/2020 21:21,62.45,-114.38,3.2,84,90,16.11,light snow,0,0
127,Balikpapan,ID,1/4/2020 21:21,-1.24,116.86,73.58,97,100,3.74,overcast clouds,0,0
128,Srednekolymsk,RU,1/4/2020 21:21,67.46,153.71,-0.27,55,88,2.26,overcast clouds,0,0
129,Kavaratti,IN,1/4/2020 21:19,10.57,72.64,80.37,69,66,8.88,broken clouds,0,0
130,Moron,HT,1/4/2020 21:21,18.56,-74.26,80.19,69,7,3.38,clear sky,0,0
131,Riyadh,SA,1/4/2020 21:21,24.63,46.72,66.2,52,75,3.36,thunderstorm with rain,0,0
132,Salalah,OM,1/4/2020 21:21,17.01,54.1,77,73,40,10.29,scattered clouds,0,0
133,Santa Isabel Do Rio Negro,BR,1/4/2020 21:21,-0.41,-65.02,91.99,47,99,1.5,overcast clouds,0,0
134,Pakokku,MM,1/4/2020 21:21,21.33,95.09,63.54,93,9,5.44,light rain,0.25,0
135,Puerto Ayora,EC,1/4/2020 21:21,-0.74,-90.35,82.4,65,75,20.8,broken clouds,0,0
136,San Jose,HN,1/4/2020 21:19,14.25,-87.96,77.9,52,100,11.21,overcast clouds,0,0
137,Sylvan Lake,CA,1/4/2020 21:18,52.31,-114.09,32,77,75,11.41,broken clouds,0,0
