City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Jamestown,AU,2020-01-04 00:14:09,-33.21,138.6,71.47,54,13,20.29
122,Makakilo City,US,2020-01-04 00:13:20,21.35,-158.09,80.6,61,40,10.29
123,Inhambane,MZ,2020-01-04 00:16:11,-23.87,35.38,78.15,82,3,10.76
124,Namatanai,PG,2020-01-04 00:16:11,-3.66,152.44,84.94,69,93,2.53
125,Vangaindrano,MG,2020-01-04 00:16:11,-23.35,47.6,71.46,96,61,3.65
126,Victoria,BN,2020-01-04 00:11:42,5.28,115.24,80.6,83,75,2.24
127,Codrington,AU,2020-01-04 00:16:12,-28.95,153.24,86.0,45,0,6.93
128,Aswan,EG,2020-01-04 00:16:12,24.09,32.9,47.26,56,0,8.05
129,San Cristobal,HN,2020-01-04 00:16:12,14.68,-86.92,69.21,72,73,7.56
130,Batsfjord,NO,2020-01-04 00:16:13,70.63,29.72,32.0,94,75,17.22
131,Yulara,AU,2020-01-04 00:16:13,-25.24,130.99,73.4,100,90,10.29
132,Qaanaaq,GL,2020-01-04 00:11:17,77.48,-69.36,-41.4,96,100,5.35
133,Merrill,US,2020-01-04 00:16:13,42.03,-121.6,51.8,37,1,3.36
134,Butaritari,KI,2020-01-04 00:16:14,3.07,172.79,84.27,74,100,7.43
135,Iberia,PE,2020-01-04 00:16:14,-11.41,-69.49,73.08,96,96,1.92
136,Geraldton,CA,2020-01-04 00:14:47,49.72,-86.95,15.8,85,90,3.36
137,Talnakh,RU,2020-01-04 00:14:46,69.49,88.39,-2.2,77,40,15.66
138,Paamiut,GL,2020-01-04 00:14:43,61.99,-49.67,31.12,60,100,0.63
139,Hervey Bay,AU,2020-01-04 00:16:15,-25.3,152.85,86.0,54,75,12.75
140,Vaini,IN,2020-01-04 00:16:15,15.34,74.49,60.66,74,27,1.77
141,Deputatskiy,RU,2020-01-04 00:12:05,69.3,139.9,-20.13,95,6,2.66
142,Dzialdowo,PL,2020-01-04 00:16:16,53.24,20.17,37.4,100,90,11.41
143,Takoradi,GH,2020-01-04 00:15:16,4.89,-1.75,79.3,53,37,1.5
144,Mandalgovi,MN,2020-01-04 00:16:16,45.76,106.27,11.59,47,0,5.01
145,Ladario,PT,2020-01-04 00:16:17,40.7,-7.74,50.0,95,2,2.21
146,Dingle,PH,2020-01-04 00:11:36,11.0,122.67,75.63,90,59,12.48
147,Tilichiki,RU,2020-01-04 00:16:17,60.47,166.1,-0.53,78,2,6.93
148,Sembakung,ID,2020-01-04 00:16:17,3.82,117.25,75.15,89,100,3.11
149,Novoagansk,RU,2020-01-04 00:16:17,61.94,76.66,8.29,93,97,15.86
150,Dengzhou,CN,2020-01-04 00:16:18,32.69,112.08,39.22,55,5,1.34
151,Rio Verde De Mato Grosso,BR,2020-01-04 00:16:18,-18.92,-54.84,77.5,71,25,4.9
152,Nelson Bay,AU,2020-01-04 00:16:18,-32.72,152.14,102.99,41,0,9.17
153,Yar-Sale,RU,2020-01-04 00:15:02,66.83,70.83,8.19,96,93,9.33
154,Uhlove,UA,2020-01-04 00:16:19,44.82,33.6,45.1,74,100,14.32
155,Acapulco,MX,2020-01-04 00:12:31,16.86,-99.88,82.4,69,75,8.05
156,Utmanzai,PK,2020-01-04 00:16:19,34.19,71.76,42.8,75,40,4.7
157,Christchurch,NZ,2020-01-04 00:15:00,-43.53,172.64,64.0,51,92,14.99
158,Saskylakh,RU,2020-01-04 00:16:13,71.97,114.09,-15.83,97,91,6.22
159,Luderitz,NA,2020-01-04 00:14:46,-26.65,15.16,68.0,56,0,17.22
160,Mayo,CA,2020-01-04 00:11:23,63.59,-135.9,-14.8,75,75,4.7
161,Bondo,CD,2020-01-04 00:16:21,3.81,23.69,75.22,47,100,3.13
162,Fairbanks,US,2020-01-04 00:15:02,64.84,-147.72,-9.0,74,1,2.46
163,Brainerd,US,2020-01-04 00:16:21,46.36,-94.2,21.2,79,90,6.93
164,Hithadhoo,MV,2020-01-04 00:16:21,-0.6,73.08,82.76,66,44,3.24
165,Lodwar,KE,2020-01-04 00:16:22,3.12,35.6,84.52,44,97,10.78
166,Bay Roberts,CA,2020-01-04 00:16:22,47.58,-53.28,32.0,80,75,27.51
167,Fougamou,GA,2020-01-04 00:16:22,-1.22,10.59,73.92,97,100,2.08
168,Rorvik,NO,2020-01-04 00:16:22,64.86,11.24,39.99,82,100,8.99
169,Cumbum,IN,2020-01-04 00:16:23,15.58,79.11,69.46,94,79,0.49
170,Dwarka,IN,2020-01-04 00:16:23,28.58,77.04,61.0,87,0,1.99
171,Ust-Tsilma,RU,2020-01-04 00:16:23,65.44,52.15,34.12,98,100,10.2
172,Lincoln,GB,2020-01-04 00:16:24,53.23,-0.54,45.0,86,31,8.05
173,Isangel,VU,2020-01-04 00:11:50,-19.55,169.27,82.4,65,40,8.05
174,Sola,TZ,2020-01-04 00:15:14,-3.17,33.8,64.2,81,100,5.91
175,Alofi,NU,2020-01-04 00:16:24,-19.06,-169.92,80.6,74,75,5.82
176,Coquimbo,CL,2020-01-04 00:16:25,-29.95,-71.34,60.8,82,90,8.05
177,Meulaboh,ID,2020-01-04 00:14:49,4.14,96.13,80.08,78,25,4.59
178,Gari,RU,2020-01-04 00:16:25,59.43,62.35,21.72,86,100,14.58
179,Praia,BR,2020-01-04 00:16:26,-20.25,-43.81,73.4,78,75,2.24
180,Praia Da Vitoria,PT,2020-01-04 00:16:26,38.73,-27.07,51.8,76,20,15.64
181,Sidi Ali,DZ,2020-01-04 00:16:26,36.1,0.42,46.06,88,0,1.83
182,Camapua,BR,2020-01-04 00:16:26,-19.53,-54.04,75.42,82,12,2.75
183,Livramento,BR,2020-01-04 00:16:27,-3.03,-60.18,82.4,78,40,3.8
184,Ranot,TH,2020-01-04 00:16:27,7.78,100.32,81.03,76,53,17.58
185,Vojens,DK,2020-01-04 00:16:27,55.25,9.31,42.8,80,40,17.22
186,High Rock,BS,2020-01-04 00:16:27,26.63,-78.28,75.2,88,40,3.36
187,Airai,TL,2020-01-04 00:16:28,-8.93,125.41,74.66,81,93,1.16
188,Harper,US,2020-01-04 00:16:28,30.3,-99.24,55.4,40,1,10.29
189,Sleaford,GB,2020-01-04 00:16:28,53.0,-0.41,45.0,86,31,16.11
190,Soltsy,RU,2020-01-04 00:16:28,58.12,30.32,38.57,93,100,13.51
191,Cayenne,GF,2020-01-04 00:12:38,4.94,-52.33,80.6,78,40,6.93
192,Saint Anthony,US,2020-01-04 00:15:21,43.97,-111.68,30.2,79,20,4.7
193,Moose Factory,CA,2020-01-04 00:16:29,51.26,-80.61,15.8,78,90,6.93
194,Nizwa,OM,2020-01-04 00:12:01,22.93,57.53,59.74,57,0,0.27
195,Tiksi,RU,2020-01-04 00:14:15,71.64,128.87,-17.68,84,98,7.2
196,Vardo,US,2020-01-04 00:12:27,39.62,-77.74,48.99,93,90,3.36
197,Mizan Teferi,ET,2020-01-04 00:16:30,6.99,35.58,64.72,84,69,2.77
198,Mackay,CA,2020-01-04 00:16:30,53.65,-115.58,19.4,92,90,8.05
199,Ciudad Bolivar,VE,2020-01-04 00:14:53,8.12,-63.55,81.27,59,18,11.56
200,Tsogni,GA,2020-01-04 00:16:31,-2.79,10.1,78.58,88,100,14.12
201,Severo-Kurilsk,RU,2020-01-04 00:16:31,50.68,156.12,23.94,86,100,15.75
202,Gazojak,TM,2020-01-04 00:16:31,41.19,61.4,36.25,89,75,9.86
203,Saiha,IN,2020-01-04 00:16:32,22.49,92.98,56.08,99,92,2.84
204,Znamenskoye,RU,2020-01-04 00:16:32,57.13,73.82,7.38,85,75,10.33
205,Morant Bay,JM,2020-01-04 00:16:32,17.88,-76.41,82.4,65,20,19.46
206,Clyde River,CA,2020-01-04 00:14:00,70.47,-68.59,-31.0,73,5,14.99
207,Durazno,UY,2020-01-04 00:16:32,-33.38,-56.52,70.41,64,45,11.65
208,Moissac,FR,2020-01-04 00:16:33,44.11,1.08,50.0,93,90,3.36
209,Garden City,US,2020-01-04 00:16:33,43.62,-116.24,46.4,52,1,5.82
210,Zhanaozen,KZ,2020-01-04 00:16:33,43.35,52.85,27.52,67,0,4.25
211,Santa Maria Da Vitoria,BR,2020-01-04 00:16:34,-13.39,-44.19,70.36,96,100,3.96
212,Ahuimanu,US,2020-01-04 00:16:34,21.44,-157.84,80.6,65,90,16.11
213,Richards Bay,ZA,2020-01-04 00:16:34,-28.77,32.06,78.73,84,72,21.94
214,Nuuk,GL,2020-01-04 00:16:34,64.17,-51.74,23.0,79,99,14.99
215,Barrow,AR,2020-01-04 00:14:50,-38.31,-60.23,73.09,54,0,9.17
216,Port Hardy,CA,2020-01-04 00:16:23,50.7,-127.42,48.2,100,90,16.11
217,Lamtah,TN,2020-01-04 00:16:36,35.67,10.88,52.0,100,20,6.93
218,Hamilton,CA,2020-01-04 00:15:31,43.26,-79.87,44.01,80,90,4.7
219,Kondopoga,RU,2020-01-04 00:16:36,62.21,34.27,39.2,86,100,15.66
220,Castro,CL,2020-01-04 00:14:47,-42.48,-73.76,62.6,55,20,13.87
221,Kavaratti,IN,2020-01-04 00:16:37,10.57,72.64,80.85,79,96,14.81
222,Port Blair,IN,2020-01-04 00:16:37,11.67,92.75,81.19,77,36,11.92
223,Sangar,RU,2020-01-04 00:12:05,63.92,127.47,-20.69,86,94,10.85
224,Flin Flon,CA,2020-01-04 00:15:16,54.77,-101.88,17.6,85,90,5.82
225,Kamenz,DE,2020-01-04 00:16:37,51.27,14.09,46.0,93,75,12.75
226,Bara,NG,2020-01-04 00:16:38,10.41,10.6,57.85,33,93,7.83
227,Pozo Colorado,PY,2020-01-04 00:16:38,-23.49,-58.8,80.38,47,1,2.26
228,Pandan,PH,2020-01-04 00:16:38,11.72,122.09,79.16,81,100,24.36
229,Banjar,ID,2020-01-04 00:16:39,-7.37,108.54,76.44,88,100,1.45
230,Emba,CY,2020-01-04 00:16:39,34.81,32.42,48.2,81,20,5.82
231,Rocha,UY,2020-01-04 00:16:39,-34.48,-54.34,60.8,90,7,6.26
232,Ossora,RU,2020-01-04 00:14:44,59.24,163.07,24.91,82,100,16.08
233,Beloha,MG,2020-01-04 00:16:40,-25.17,45.06,72.55,90,14,10.0
