City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Bilma,NE,49.51,clear sky,18.69,12.92,Expeditions Ténére voyages
533,Amahai,ID,81.5,overcast clouds,-3.31,129,Penginapan Madina
535,Enshi,CN,40.03,light rain,30.29,109.48,Moevenpick Enshi
536,Gat,SN,77,scattered clouds,14.69,-16.54,
538,Marawi,PH,71.01,clear sky,8,124.29,Derogongan Residence
539,Beni,CD,66.2,light rain,0.49,29.47,Albertine hotel
540,Salina,US,48.99,clear sky,38.84,-97.61,Holiday Inn Express & Suites Salina
542,Fairlie,US,60.8,clear sky,33.31,-95.96,Coyote Crossing Ranch
544,Novita,CO,77.05,moderate rain,4.96,-76.61,
546,Carbonia,IT,53.6,few clouds,39.17,8.53,Lu 'Hotel
547,Kasempa,ZM,62.69,overcast clouds,-13.46,25.83,Miracle Guest House
548,Nuevo Progreso,US,75,scattered clouds,26.05,-97.95,Hotel Las Flores
552,Sun Valley,US,57.2,clear sky,39.6,-119.78,Panther Valley RV Park
554,Touros,BR,82.4,few clouds,-5.2,-35.46,INN NEW HORIZON
556,San Jorge,PH,70.93,light rain,11.98,124.82,"Legislative Building of San Jorge,Samar"
558,Nome,US,68,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
559,Ilhabela,BR,76.84,light rain,-23.78,-45.36,Ilha Flat Hotel
