City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Quatre Cocos,MU,78.01,light intensity shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
139,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.08,Scoop Guest House
141,Fortuna,US,54,scattered clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
147,Ancud,CL,60.8,clear sky,-41.87,-73.83,HOTEL ANCUD DON LUCAS
148,Stabat,ID,75.2,mist,3.76,98.46,Kos & home stay Sentosa
149,Maxixe,MZ,78.93,few clouds,-23.86,35.35,Oceano
150,Castro,CL,60.8,clear sky,-42.48,-73.76,Hotel Esmeralda
151,San Quintin,PH,68.83,broken clouds,17.54,120.52,San Quintin River Resort
152,Sola,TZ,65.82,clear sky,-3.17,33.8,Peace Hotel
155,Taltal,CL,64.49,clear sky,-25.41,-70.49,Residencial Karime
156,Ratnagiri,IN,61.45,clear sky,16.98,73.3,Hotel Landmark
161,Vanimo,PG,82.44,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
164,Moncao,PT,51.01,clear sky,42.08,-8.48,Hotel Bienestar Termas de Monção
167,Puerto Del Rosario,ES,64.4,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
168,Flinders,AU,71.01,overcast clouds,-34.58,150.85,Shellharbour Resort & Conference Centre
169,Antalaha,MG,79,overcast clouds,-14.9,50.28,Hotel Vitasoa
171,Itarema,BR,80.62,broken clouds,-2.92,-39.92,Windvillage
173,Avera,US,64.4,clear sky,33.19,-82.53,
174,Axim,GH,75.2,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
175,Chuy,UY,74.25,few clouds,-33.69,-53.46,Nuevo Hotel Plaza
177,San Cristobal,HN,80.58,light rain,14.68,-86.92,
178,Bambous Virieux,MU,78.01,light intensity shower rain,-20.34,57.76,Casa Tia Villa
179,Karpathos,GR,58.3,clear sky,35.51,27.21,Alex
181,Dingle,PH,71.56,light rain,11,122.67,Camp Pasica
184,Sao Caetano De Odivelas,BR,77.25,moderate rain,-0.75,-48.02,Hotel do Luttis
186,Lunavada,IN,58.5,clear sky,23.13,73.61,Mohammadi apartment
187,Peniche,PT,54,few clouds,39.36,-9.38,Hotel Star inn Peniche
188,Camacha,PT,64.4,broken clouds,33.08,-16.33,Hotel Porto Santo & Spa
189,Vaini,IN,59.25,clear sky,15.34,74.49,Dandeli Lake County
191,Victoria,BN,80.6,broken clouds,5.28,115.24,Tiara Labuan Hotel
192,Antofagasta,CL,68,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
198,Half Moon Bay,US,62.01,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
200,Champerico,MX,71.6,broken clouds,16.38,-93.6,
203,Shingu,JP,45.52,clear sky,33.72,135.99,新宮ユーアイホテル
204,Kiama,AU,70,overcast clouds,-34.67,150.86,The Sebel Kiama Harbourside
205,Maun,BW,71.78,light rain,-19.99,23.42,Enviro Villa
207,Llangefni,GB,48.99,overcast clouds,53.26,-4.31,Bull Hotel
208,Tezu,IN,52.48,moderate rain,27.93,96.16,Circuit House
209,Alofi,NU,84.2,clear sky,-19.06,-169.92,Taloa Heights
212,Fare,PF,81.61,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
213,Coihaique,CL,60.8,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
214,Bara,NG,66.18,scattered clouds,10.41,10.6,
215,Kidal,ML,55.78,clear sky,18.44,1.41,
216,Ligayan,PH,82,overcast clouds,4.65,119.47,
218,Mar Del Plata,AR,64.15,few clouds,-46.43,-67.52,Hotel Costanera Del Sur
219,Bonthe,SL,77.74,scattered clouds,7.53,-12.5,Bonthe Holiday Village
220,Pringsewu,ID,72.46,moderate rain,-5.36,104.98,Urban Style by Front One
221,Carnarvon,ZA,72.52,clear sky,-30.97,22.13,Maritza Bed & Breakfast
222,Gizo,IL,53.6,scattered clouds,31.8,34.94,בקתות לשקיעה
223,Areosa,PT,51.01,clear sky,41.72,-8.86,Hotel Flôr de Sal
224,Shahr-E Babak,IR,48.61,light rain,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
226,Gladstone,AU,78.8,scattered clouds,-23.84,151.26,Metro Hotel and Apartments Gladstone
227,Klaksvik,FO,46.4,light rain,62.23,-6.59,Airbnb rooms
228,Christchurch,NZ,59,light rain,-43.53,172.64,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
229,Tuatapere,NZ,55,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
230,Sao Jose Da Coroa Grande,BR,80.29,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
231,Kruisfontein,ZA,68.18,scattered clouds,-34,24.73,Oyster Bay House Rental
233,Umm Kaddadah,SD,60.87,clear sky,13.6,26.69,
234,Pacific Grove,US,63,few clouds,36.62,-121.92,Lovers Point Inn
235,Maceio,BR,80.6,overcast clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
236,Port Elizabeth,US,57.99,overcast clouds,39.31,-74.98,HAMMER RUN
237,Mayumba,GA,80.76,light rain,-3.44,10.65,LIKWALE LODGE
238,Brookhaven,US,50,overcast clouds,40.78,-72.92,SpringHill Suites by Marriott Long Island Brookhaven
239,Roswell,US,61,clear sky,33.39,-104.52,Candlewood Suites Roswell
240,Codrington,AU,78.8,clear sky,-28.95,153.24,
242,Hilo,US,75.99,heavy intensity rain,19.71,-155.08,Hilo Seaside Hotel
243,Pedernales,EC,77.85,scattered clouds,0.07,-80.05,L'Vanna Hotel
245,Karwar,IN,69.1,clear sky,14.8,74.13,Netalco Connects
247,Annau,TM,41,overcast clouds,37.89,58.52,Buzmein Sokak
249,Mahebourg,MU,78.01,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
251,Lafia,NG,74.19,clear sky,8.5,8.51,Suites11
252,Imbituba,BR,75.2,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
253,Arraial Do Cabo,BR,77,light rain,-22.97,-42.02,Pousada Porto Praia
254,Sahuaripa,MX,71.17,clear sky,29.05,-109.23,Hotel El Molino de Don Pepe
256,Inhambane,MZ,78.93,few clouds,-23.87,35.38,MHL Turismo SA
257,Farah,AF,48.74,light rain,32.37,62.11,هوتل خرما
258,Kendari,ID,75.11,overcast clouds,-3.99,122.52,Hotel Wixel
259,Rio Gallegos,AR,62.6,broken clouds,-51.62,-69.22,Hotel Santa Cruz
260,Puerto Narino,CO,82.4,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
261,Sao Filipe,CV,70.59,scattered clouds,14.9,-24.5,Tortuga B&B
263,Cochrane,CL,44.73,light rain,-47.25,-72.57,Cabañas Hervila
264,Tabou,CI,73.47,clear sky,4.42,-7.36,Hotel Les Rochers
265,Sao Joao Da Barra,BR,80.6,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
266,Waterloo,SL,80.6,haze,8.34,-13.07,Small Country Guest House
268,Manavalakurichi,IN,78.8,mist,8.13,77.3,Udaya Boys Hostel
269,Camopi,GF,77.7,light rain,3.17,-52.33,
